,0
525,Pill Based Cultivation
526,Pill Concocting
527,Pilots
528,Pirates
529,Playboys
530,Playful Protagonist
531,Poetry
532,Poisons
533,Police
534,Polite Protagonist
535,Politics
536,Polyandry
537,Polygamy
538,Poor Protagonist
539,Poor to Rich
540,Popular Love Interests
541,Possession
542,Possessive Characters
543,Post-apocalyptic
544,Power Couple
545,Power Struggle
546,Pragmatic Protagonist
547,Precognition
548,Pregnancy
549,Pretend Lovers
550,Previous Life Talent
551,Priestesses
552,Priests
553,Prison
554,Proactive Protagonist
555,Programmer
556,Prophecies
557,Prostitutes
558,Protagonist Falls in Love First
559,Protagonist Strong from the Start
560,Protagonist with Multiple Bodies
561,Psychic Powers
562,Psychopaths
563,Puppeteers
564,Quiet Characters
565,Quirky Characters
566,R-15
567,R-18
568,Race Change
569,Racism
570,Rape
571,Rape Victim Becomes Lover
572,Rebellion
573,Reincarnated as a Monster
574,Reincarnated as an Object
575,Reincarnated in a Game World
576,Reincarnated in Another World
577,Reincarnation
578,Religions
579,Reluctant Protagonist
580,Reporters
581,Restaurant
582,Resurrection
583,Returning from Another World
584,Revenge
585,Reverse Harem
586,Reverse Rape
587,Reversible Couple
588,Rich to Poor
589,Righteous Protagonist
590,Rivalry
591,Romantic Subplot
592,Roommates
593,Royalty
594,Ruthless Protagonist
595,Sadistic Characters
596,Saints
597,Salaryman
598,Samurai
599,Saving the World
600,Schemes And Conspiracies
601,Schizophrenia
602,Scientists
603,Sculptors
604,Sealed Power
605,Second Chance
606,Secret Crush
607,Secret Identity
608,Secret Organizations
609,Secret Relationship
610,Secretive Protagonist
611,Secrets
612,Sect Development
613,Seduction
614,Seeing Things Other Humans Can't
615,Selfish Protagonist
616,Selfless Protagonist
617,Seme Protagonist
618,Senpai-Kouhai Relationship
619,Sentient Objects
620,Sentimental Protagonist
621,Serial Killers
622,Servants
623,Seven Deadly Sins
624,Seven Virtues
625,Sex Friends
626,Sex Slaves
627,Sexual Abuse
628,Sexual Cultivation Technique
629,Shameless Protagonist
630,Shapeshifters
631,Sharing A Body
632,Sharp-tongued Characters
633,Shield User
634,Shikigami
635,Short Story
636,Shota
637,Shoujo-Ai Subplot
638,Shounen-Ai Subplot
639,Showbiz
640,Shy Characters
641,Sibling Rivalry
642,Sibling's Care
643,Siblings
644,Siblings Not Related by Blood
645,Sickly Characters
646,Sign Language
647,Singers
648,Single Parent
649,Sister Complex
650,Skill Assimilation
651,Skill Books
652,Skill Creation
653,Slave Harem
654,Slave Protagonist
655,Slaves
656,Sleeping
657,Slow Growth at Start
658,Slow Romance
659,Smart Couple
660,Social Outcasts
661,Soldiers
662,Soul Power
663,Souls
664,Spatial Manipulation
665,Spear Wielder
666,Special Abilities
667,Spies
668,Spirit Advisor
669,Spirit Users
670,Spirits
671,Stalkers
672,Stockholm Syndrome
673,Stoic Characters
674,Store Owner
675,Straight Seme
676,Straight Uke
677,Strategic Battles
678,Strategist
679,Strength-based Social Hierarchy
680,Strong Love Interests
681,Strong to Stronger
682,Stubborn Protagonist
683,Student Council
684,Student-Teacher Relationship
685,Succubus
686,Sudden Strength Gain
687,Sudden Wealth
688,Suicides
689,Summoned Hero
690,Summoning Magic
691,Survival
692,Survival Game
693,Sword And Magic
694,Sword Wielder
695,System Administrator
696,Teachers
697,Teamwork
698,Technological Gap
699,Tentacles
700,Terminal Illness
701,Terrorists
702,Thieves
703,Threesome
704,Thriller
705,Time Loop
706,Time Manipulation
707,Time Paradox
708,Time Skip
709,Time Travel
710,Timid Protagonist
711,Tomboyish Female Lead
712,Torture
713,Toys
714,Tragic Past
715,Transformation Ability
716,Transmigration
717,Transplanted Memories
718,Transported into a Game World
719,Transported Modern Structure
720,Transported to Another World
721,Trap
722,Tribal Society
723,Trickster
724,Tsundere
725,Twins
726,Twisted Personality
727,Ugly Protagonist
728,Ugly to Beautiful
729,Unconditional Love
730,Underestimated Protagonist
731,Unique Cultivation Technique
732,Unique Weapon User
733,Unique Weapons
734,Unlimited Flow
735,Unlucky Protagonist
736,Unreliable Narrator
737,Unrequited Love
738,Valkyries
739,Vampires
740,Villainess Noble Girls
741,Virtual Reality
742,Vocaloid
743,Voice Actors
744,Voyeurism
745,Waiters
746,War Records
747,Wars
748,Weak Protagonist
749,Weak to Strong
750,Wealthy Characters
751,Werebeasts
752,Wishes
753,Witches
754,Wizards
755,World Hopping
756,World Travel
757,World Tree
758,Writers
759,Yandere
760,Youkai
761,Younger Brothers
762,Younger Love Interests
763,Younger Sisters
764,Zombies
